name,book,page,identity,event,disposition,evidence,gender,period,notes
李正华,minzhengzhi_aa+zl,m-43;z-38,民政科长,1953.9-1954.3任民政科长,未处置,事实,男,1927,苍溪县,背景
李清碧,minzhengzhi_aa+zl+m-43;z-38;m-199;z-180;xianzhi p-0075;p-0254,民政科副科长(1954.12-1955.6)/第二科长(1955.9-1969);县政协副主席,1951.1.16抗美援朝分会主任;1950s-1960s民政科任职,未处置,事实,男,1914,苍溪县,1980s政协副主席
李福田,xianzhi,p-0903,道教分会常务理事(选举大会),1949年前后道教选举大会常务理事,1949后无记录,无,事实,男,不详,1966年后道徒绝迹
李嘉兴,xianzhi,p-1010,禁烟禁毒委员会委员(1950.12.8),1950.12禁烟禁毒委员会15名委员之一,未处置,事实,男,不详,背景
李清磁,xianzhi,p-1010,禁烟禁毒委员会副主任委员(1950.12.8),1950.12禁烟禁毒委员会副主任委员,未处置,事实,男,不详,疑为李清玉(李蕴璞)或李清碧之OCR误;uncertain
李有为,xianzhi,p-0986;p-1025;p-1036,李显威之子;灌县税捐处长,1949.12参与策反起义(灌县);1986年回乡(诗);1980s县志特约编审,未处置(1986回乡),事实,男,不详,李显威之子;台胞回乡
李有寿,xianzhi,p-0986,李显威之子;一区专署保安司令部主任参谋兼岫彭灌三县联防办事处主任,1949.12参与策反,1949后无记录,无,事实,男,不详,候选(低)
李有明,xianzhi,p-0986,李显威之子,1949年在成都与李显威改组《啸报》,1949后无记录,无,事实,男,不详,候选(低)
李昌基/李元学/李元清,minzhengzhi_aa+zl,m-184;m-185;z-165;z-166,立功军人(1950-1957立功喜报名录),1950-1957年立功喜报,受表彰(非处置),事实(OCR不确定),男,不详,立功军人名录OCR混乱
李开湘,minzhengzhi_aa?+xianzhi,p-0018;p-0031;p-0039;p-0381;p-0975;d-316,1933四蛮寨独立营营长;红军;1955少将,1933-1955军旅,未处置,事实,男,1911-?,苍溪,1955少将
李明,xianzhi,p-0018;p-0039;p-1005,解放军总政干部处副处长(1950.9);志愿军政治部组织部副部长(1953);1960少将,1950-1953任职,未处置,事实,男,1918-1986,苍溪籍,少将
李寅,xianzhi,p-0036;p-0204;p-0179,1950.1.18首任县长;1950.1农协筹委会主任;1950县委委员,1950-1952任县长,未处置,事实,男,不详,南下干部
李茂祥,xianzhi,p-0036;p-0181,南下干部;县委常委,1950南下,未处置,事实,男,不详,背景
李子忠,xianzhi,p-0036,南下干部,1950.1.9首批南下,未处置,事实,男,不详,背景
李元首,xianzhi,p-0031;p-0975,1933四蛮寨游击队组织者,1933事迹,未处置,事实,男,不详,1933
李剑金,xianzhi,p-0381,万贯山民团头子,1933年被四蛮寨游击队摧毁老巢,未处置(1933),事实,男,不详,1949后无记录
李子君,xianzhi,p-0381,1949.10白庙"八一先遣司令部"政治部主任,1949.10任职;队伍被128师接收,未处置,事实,男,不详,背景
李海波,xianzhi,p-0907,1946青帮"义源堂"组织者,1950.10义源堂被县政府宣布解散,帮会解散(非司法),事实,男,不详,罗治平申请解散
李梦林,xianzhi;p-0035;z-25;m-64,1946烟馆主人,1946烟馆起火,未处置,事实,男,不详,日期三版不一
李开基/李开业,xianzhi,p-0033;p-0872,1938霍乱死绝一家8人,未处置(1938死亡),事实,男,不详,八庙乡红花村一组
李忠新,xianzhi,p-0031;p-0177,1933.2县委在牛滚岩其家成立,未处置,事实,男,不详,1933
李受馨(字兰台),xianzhi,p-0836;p-0860;p-0866;p-0960;p-0982,清顺治十年苍溪知县,清代人物,未处置,事实,男,1653前后,清代,李公祠纪念
李天墓,xianzhi,p-0836,清代文人著《问心山房集》,清代,未处置,事实,男,清代,清代
李应贞/李成,xianzhi,p-0024;p-0959;p-1018,明代捐资建庙者,明代,未处置,事实,男,明代,明代
李灵椿,xianzhi,p-0030;p-0851,民国县志总纂(民国17年),民国,未处置,事实,男,民国,民国17年编纂《苍溪县志》
李钟芹,xianzhi,p-0211,清末商会总理,清末,未处置,事实,男,清末,清末
李淑贞,xianzhi,p-0078,1952互助组劳模,1952.10劳模会,受表彰,事实,性别不详,1952,模范互助组
李玉保,xianzhi,p-0177,1937前后赴延安学习党员,1937,未处置,事实,女?(OCR),1937,党员名单
李扬波,xianzhi,p-0979,1936介绍陈柏林入党之地下党员,1936,未处置,事实,男,1936,重庆地下党
李桂英,xianzhi,p-0244,1963省第三届人代会代表,1963,未处置,事实,性别不详,1963,背景
李桂英(1990),xianzhi,p-0883,1990鞍子乡患者,1990,未处置,事实,女,1990,肿瘤患者
李兴德,xianzhi,p-0811,1980s东溪科技示范户,1980s,未处置,事实,男,1980s,背景
李文锦,xianzhi,p-0243,1954.9省人大代表,1954,未处置,事实,男,1954,背景
李先成,xianzhi,p-0245;p-0265;m-43;z-38,1974-1984民政局长/1978-1984检察长,1974-1984,未处置,事实,男,1929,阆中县,背景
李忠德/李建华,xianzhi,p-1033,县志编纂者(体育志),1988,未处置,事实,男,1988,背景
李泉/李雄厚,xianzhi,p-0811;p-1033,县志编纂/兽医防疫,1980s,未处置,事实,男,1980s,背景
李正楠,xianzhi,p-0844,剪纸艺人,1980s,未处置,事实,男,1980s,陵江镇龙潭村
李文学,xianzhi,p-0895,1988全国农村体育积极分子,1988,未处置,事实,男,1988,镇水公社
李树林,xianzhi,p-0807;p-0835,1980s县科协主席/副县长,1980s,未处置,事实,男,1980s,背景
李文元,xianzhi,p-0229;p-0248;p-0347;p-0351;a-20,1980s代县长/县委书记,1980s,未处置,事实,男,1980s,背景
李开林,xianzhi,p-0187;p-0182;a-19,1980s县委副书记,1980s,未处置,事实,男,1980s,盐亭县
李绍文,xianzhi,p-0182;p-0436,1970s-1980s县革委副主任/常委,1970s-1980s,未处置,事实,男,1980s,阆中县
李廷文,xianzhi?danganzhi a-112,1977岐坪区长,1977,未处置,事实,男,1977,背景
李在扬,xianzhi,p-0515,1980s县长助理,1980s,未处置,事实,男,1980s,雪梨推广领导小组组长
李育农/李大福,xianzhi,p-0500,西南农大园艺系主任(雪梨研究),1980s,未处置,事实,男,1980s,背景
李秀训,xianzhi,p-0050,1970s浙水公社红旗大队党支部书记,当选中共十一大代表,未处置,事实,性别不详,1970s,背景
李仕德,xianzhi?minzhengzhi m-131;z-114,1960s事故相关干部,1960s,未处置,事实,男,1960s,背景
李登治,xianzhi?minzhengzhi m-187;z-168,1955东台农业合作社干部,1955,未处置,事实,男,1955,背景
李玉成,xianzhi,p-0197,1988台胞回乡定居(两溪乡),1988,未处置,事实,男,1988,台胞
李金莲/李正秀,xianzhi,p-0995;m-180;z-161,1970观音滩翻船获救者/韩柏林之妻,1970,未处置,事实,男/女,1970,背景
李平章,xianzhi,p-0970,1933三堆石猎手(游击队训练),1933,未处置,事实,男,1933,背景
李在安,xianzhi,p-0865;p-0974,1935红军造船厂工会委员长,1935,未处置,事实,男,1935,背景
李长春/李朝荣,xianzhi,p-0378;p-0966;p-0967,1926红灯教百总,1926李朝荣突围牺牲,1926战死,事实,男,1926,民国红灯教起义
李天焕,xianzhi,p-0987,红三十军政治部主任(1933),1933,未处置,事实,男,1933,背景
李先念,xianzhi,p-0018;p-0374;p-0865,红三十军政委(1933-1935),1933-1935,未处置,事实,男,1933-35,全国人物
李烈钧,xianzhi,p-0066,辛亥革命人物,1911,未处置,事实,男,1911,全国人物
李井泉,xianzhi,p-0082;p-0503,四川省委书记,1960s,未处置,事实,男,1960s,全国人物
李济琛,xianzhi?m-177;z-158,民革主席,全国人物,未处置,事实,男,1940s-50s,全国人物
李忠新家,xianzhi,p-0031,地名,1933县委成立地,未处置,事实,男,1933,地名(牛滚岩)
