"raw_name","count","books","pages","disp_ctx","sample"
"李姑","2","diminglu","d-211;d-253","1","。〗陈家河Chgnj15hk“临小涉,住户陈姓居多。`.\。j\鹫,.1园\/1尽',`〔】《0一一"
"李寅任县","1","xianzhi","p-0036","1","长。2月“全县新建10个区人民政府,领导旧有的1镇、19乡、289保。2月_县、区、乡政府宣传和贯彻"
"李進聆春","1","jicheng52","j-431","1","器|剛荃|晝【同盼託菲陣0倉多00表|地﹍為﹣維f賴早吟意比奈臺|安|內，|享江播悠顏忍邦摘﹍奉|﹣"
"李显威急","1","xianzhi","p-0986","1","赴温江与老友冯均逸〔四川一区督察专员兼保安司令)密商全区军民配合起义事宜、接着去灌县令其子李有为(灌"
"李清碧等","1","xianzhi","p-0177","1","人入党。3月建立中共三堆石区委员会(10月改为中土区委会),韩文炳任区委书记。5月,王相才在槐树驿建"
"李蕴璞在","1","xianzhi","p-1002","1","成都求学期间,受校长吴玉章,教师张秀熟等人进步思想熙陶,常读《向导}、《荻原}、《晚报.副刊〉和《共"
"李坤山民","1","xianzhi","p-0383","1","国30年(1941),李坤山(今登高乡人)成为土匪。37年盘踞九龙山,拉人入伙,强民为匪,在东河拦劫"
"李陪同前","1","xianzhi","p-0986","1","往剑阀、昭化、苍溪募察灾情,上报中央,为川北请得照灾散,并减免部分灾区田赋。抗战军兴,北方诺省沙为战"
"李朝荣等","1","xianzhi","p-0967","1","3人。他们匿身包谷草中,夜静时入李朝荣家躲避。天未亮,又转到今白岩乡白岩洞隐藏,以图再举。及晓,被邢"
"李受声秉","1","xianzhi","p-0960","1","性耿直清正,莅任后,见民生调散,流亡甚众,县城人口不足百户;岑田美地或沧为战场,或毁于灾荒,感叹地说"
"李坤山从","1","xianzhi","p-0383","1","浓烟中窜出被当场击毙。平息“中美技术合作所“武装民国38年(1949)6月,国民党特务操纵同善社组建"
"李利不余","1","xianzhi","p-0932","1","全票搪劳老闹聊丁料|援楼蒋漏a略高“稿〔囊三_鬼贵敲二考靠希】…'__】羞】薯，k亏莺傀愧荆毫好号抠"
"李榆昂為","1","jicheng52","j-356","1","楊﹩作鮓到歔止沙放華娜3眸又絕莘鄉鄉銘|減自椎節篇楊z眢絆淳戴凸髏g居多畢。武床慶帕憲鏝園|縣」庭庠"
"李配双鞍","1","minzhengzhi_aa","m-156","1","?,《一女不嫁二男“y一些肺年人只认为父母包办儿女娆姜是迁反婚妾法,没仰会到儿女干涉父母再娇也是违反"
"李剑金的","1","xianzhi","p-0381","1","老巢,并把大量衣物、粮食分给受苦群众。8月,县保卫团三、四大队与附近民团约1000多人向四蛮寨进攻,"
"李甚年談","1","jicheng52","j-371","1","工﹍授框极綬中關安棍鄉嚥苦殃層春﹍字合氐菟十髑夯。岩宦奇井鶲美經楊追傳蓊鑑||必國鵯笙丹愚夫﹣克鰲口"
"李蕴璞又","1","xianzhi","p-1002","1","去江油、三台、涪陵。中江等县中学任教。民国26年,李蕴璞在中江中学办《抗日壁报》,撰文宣传抗日,参加"
"李李減降","1","jicheng52","j-469","1","午做甩﹍戾不箱之忘浩唔壼晝崔者磊之雜斯何嘰見1斗十不1括1作十十門人十刑松降才十頁相掉所蕙不重目政將"
"李先念率","1","xianzhi","p-0018","1","红四方面军在文昌客建立川陕省苍溪县苏维埃政府,取得“反六路围攻“最后一仗一一黄猫垭及强渡嘉陵江战斗的"
"李方田","1","xianzhi","p-0993","1","、程孟平、舒世五等5人推荐为国民代表大会苍漫选区代表侯选人。民国38年11月,阅中县各界成立解放委员"
"李淑贞等","1","xianzhi","p-0078","1","11个模范互助组。10月县召开第二次互助组劳模会议,县委提出《巩固提高互助组,发展合作社的意见》,并"
"李口異劉","1","jicheng52","j-498","1","卻﹣脣﹁|紅子|華|創|欒查|颺|日非﹒頰8﹍一˙妥襬萄Iˍ】'…ˊ‵小秘i〕|`I玉盲′旁土ˍ女至"
"李可灼给","1","yiwengushi18","m-21","1","他服下两粒红丸,光宗次日便死去,这位短命皇帝终年才36岁。宫廷大臣怀疑是郑妃指使崔、李二人所为,于是"
"李坤山任","1","xianzhi","p-0383","1","支队长。解放后,吴俊丰勾结国民党溃军师长丁玉恒筹集军火、集中人枪百余,号称“子弟兵“,1950年3月"
"李清碧任","1","xianzhi","p-0075","1","主任,蔡达源、牛庆丰任副主任。分会设秘书、宣传、募捐、总务4股。编印《抗美援朝通讯)》、《苍溪小报》"
"李回平日","1","jicheng52","j-498","1","晝遮唱器薇體|一，脢人，木藜華﹒扭心普笛||菀口鵰七|奀﹚村員維噬喬屏，翠蕙﹍|鐵回闌蹈︰等扣泰韶梅"
"李钟芹任","1","xianzhi","p-0211","1","总理。民国6年(1917)商会总理改称会长,24年商会会长改称主席。26年对新开业的“天成祥“和“顺"
"李显威邀","1","xianzhi","p-0985","1","同二十九军财务处长常诲清对田颂尧说:“李蕴璞并非共产党员,只不过年少爱闹事.“通缉遂寝。民国18一2"
"李蕴璞去","1","xianzhi","p-1003","1","中江中学、彭县中学、新都铭章中学任教5年后,民国34年(1945)任教成都天府中学。在校宣传和平民主"
"李茂祥","1","xianzhi","p-0036","1","、马成麂、孙玉先、任德明、赵珊瑚、傅仕元、李子忠来苍溪工作。1月18日“苍漫县人民政府成立,李寅任县"
"李便柵摑","1","jicheng52","j-347","1","瞻m|旱人偷。策遁駒﹍埂松。方圃莘庭普後四1忘有繃驪謐”展簡東。鯀杯非。徑真。日糊蓉由汶田北公北石构"
"李清磁","1","xianzhi","p-1010","1","、何芗、穆至善,委员白光亮、杨宗贤、朱尚权、王俊峰、蔡达源、李嘉兴、王永吉、王兴林、杜勋、吴元江、母"
"李島","1","jicheng52","j-374","1","﹍極良再爾趙晒鳥脈-_____﹣_ˍˍ_-_ˍˍ_____嵇山岡ˉ題夾脛不名蜉教賀|著|夾仁詰二英木"
"李二人所","1","yiwengushi18","m-21","1","为,于是崔、李被押往外地准备处死。这件奋案史称“红丸案“。又据《明史宫廷内记》记载,光宗在位时,主郡"
"李蕴璞讲","1","xianzhi","p-1002","1","授亦甚得法,喜怒皆形于色,颅受学生欢迎。民国21年5月9日,学生纪念国耻,团丁阻止游行,打伤学生多人"
"李显威去","1","xianzhi","p-0985","1","国民革命军二十九军军长田颂尧部任股长、科长、处长及川西北银行经理。民国17年成都“二.一六“惨案后,"
"李扬波介","1","xianzhi","p-0979","1","绍,加入中国共产党。重庆“六。二“大速捕后,新群图书公司更名为“现代书局“,陈柏林照常出售《摩仿》、"
"李蒲护","1","xianzhi","p-0985","1",",李显威将其安排在三台葫卢溪兑换银圆券,维持生活,并多方斡旋,化险为夷。李显威离任时,又将任期内俸给"
"李蕴璞遭","1","xianzhi","p-1002","1","明令通缉。李在彭山搞农运,并经李显威、常诲清周旋,幸免于难。当潜回成都时,组织已被破坏,与党失掉联系"
"李二以儒","1","jicheng52","j-324","1","安數萌蕙逝一白不友鶲奘|司晴國漢止口誠日建鶴乙深德之之里﹩。在自遺子|岡萩。溶淀晨蘋九罪又弼因滿育嫡"
"李显威将","1","xianzhi","p-0985","1","其安排在三台葫卢溪兑换银圆券,维持生活,并多方斡旋,化险为夷。李显威离任时,又将任期内俸给2万元捐赠"
"李显娆当","1","xianzhi","p-0986","1","选为国民政府中央立法院立法委员。5月中旬,与好友冯均琏在中央立法委员会提出的“清查豪门资本案“,经《"
"李蕴璞率","1","xianzhi","p-1002","1","学生代表到县政府请愿,严词驳斥,迫使县长钟英撒销了团练大队长陶泽渊的职务.民国22年夏,苍溪县立初级"
"李震同娜","1","jicheng52","j-182","1","8診篠房之許惡2貿梳切山光溥枋益評者昌源指”A苑踏，旳吾剌|鄉鄉鄙呂吳宏笭翎兮詩一178"
"李棍莘奎","1","jicheng52","j-365","1","何雷箕嬰奧住層僻信閱桯節紅狄裔鐵紆5/K察匱最【傳量友其縝秀奀同淏ls月|賦婷帆薛沁笥笏輝普壆。篡莢"
"李为常务","1","xianzhi","p-0985","1","董事未设董事长)。还特约请尚在敌人狱中(重庆反省院)的原中共四川省委代理书记张秀熠写稿,以笔名“畸零"
"李在彭山","1","xianzhi","p-1002","1","搞农运,并经李显威、常诲清周旋,幸免于难。当潜回成都时,组织已被破坏,与党失掉联系。遂辗转回到苍溪,"
"李函件等","1","danganzhi","a-48","1",".三、司法类。这类档植共1,709卷,是由苍溪县政府、军法室、司法室、司法根、四川高等法院、四川闻中"
"李清碧家","1","xianzhi","p-0178","1","里举办县委成员训练班,学习斯大林《论列宁主义基础》一书中的“民族问′题“、“农民问题“、“党“等内容"
"李制","1","jicheng52","j-371","1","|﹍甘赤年歪楊莓彝籤者奀茯俘面|畦﹍老回蟹分伝華祭載三荃藏振|昇簽謎遨乓衍威族年有鋸蛟|纈|之仨詳楊"
"李在川从","1","xianzhi","p-0986","1","政多年,川康军政要员与李均有深切交谊。时川军将领刘文辉、潘文华、邓锡侯正准备在彭县起义,李显威急赴温"
"李泽民及","1","xianzhi","p-0018","1","中国人民解放军将军的任荣、杨大易、吴忠、李开溥、李明、樊学文、赵承丰、伍国仲等就出生在这块土地上。1"
"李显威题","1","xianzhi","p-0985","1","词“东北沙亡,河山破硼,抗战救国,还我河山“为编辑方针,常发表救国言论,抨击时衅。出版3月,报社被毁"
"李兰台","1","xianzhi","p-0982","1",";将关岳庙前壁改建为“抗日阵亡将士纪念坊“,纪念阵亡抗日将士。民国35年任县参议会议长,次年兼县银行"
"李力","1","jicheng52","j-161","1","k玫沙怡愛制蕙才|哉|融眸論鋸仆容習怡豈鐘安田寺生氟氙哉劣居嫡利進奢箕蓮潘單發嘉顏之洗沏月辭犬几犬淅"
"李忐石凶","1","jicheng52","j-322","1","離之也瘠祭霖|崴|呼閱必迥所殃之匪面存灶糅肌郡田愉灰崴鄉死有毯陳行|﹍菸羚渺忘也极綏我胥而翰糠乃翱志"
"李桂茹才","1","jicheng52","j-182","1","人入糸口止桂語新縫光寸盤來堅抑捕﹥薇扎年九之具′R人笊峰世災轢收馥鯨||咐婉保鋱石年際浦心莘署*﹖]"
"李邸域才","1","jicheng52","j-374","1","烈方韆史。鞅人剔有蓉在看子而作芊詳氣距露羚合桂3舉五相籍爻科通楨施gA哉極簃李島﹍極良再爾趙晒鳥脈-"
"李紙衰咐","1","jicheng52","j-554","1","舊﹣蟌簡翡﹍華﹣壇早﹍器饞爌奇僅災畢增﹣纈耀棍﹍置﹣掃刻﹣翡雹藪﹍鎧立|草羽|具﹣奇嘉錦籍﹣瞥嘉鬘荳"
"李玉保","1","xianzhi","p-0177","1","(女)、励聿生、张尊福6名党员赴延安学习;苍溪县各届人士抗敌后援会发动青年学生编新戏,演新剧,发传单"
"李先生报","1","xianzhi","p-0030","1","告“日本军国主义在朝鲜的暴行“。夏由罗茂修、陶炎武、赵友兰等发起苍中校部分学生和成都回乡大学生刘国柱"
"李显威在","1","xianzhi","p-0986","1","成都会见来自延安的中共中央特派员罗世文,罗对李办“柳江“、“人民“两报勉慰有加。民国28年,李显威任"
"李玉成从","1","xianzhi","p-0197","1","台湾回到家乡探亲,第一个被批准在家乡定居。1987年以来县、区、乡各级政府共接待台、港同胞153人次"
"李史趺老","1","jicheng52","j-182","1","潮武有寸臺玄|到園等保邦闢念儿匿間勾速口勇春亭女尹老|、吉眸層郊繁赭泰震惺帶【士逵囤將江崎屈訢謂||"
"李蕴璞思","1","xianzhi","p-1003","1","想活既,主张言论自由,学校地下党组织能够积极活动,发展党员10余人,并成立了学校支部,国民党县党部书"
"李灵椿编","1","xianzhi","p-0030","1","素的《苍溪县志》出版。民国18年〔(1829)′〈春“改县公署为县政府,改县知事为县长。.春“在县高"
"李扭陣蜂","1","jicheng52","j-182","1","荃奈憾同臺口愛蝪嬿新挑如爭攻霖分箭匯普事所刁斜頁贓崙者A﹒伐蓀八鄭憭，觀太堯一觀，鄉早伴虯囪禮裟跪，"
"李和苦李","1","xianzhi","p-0420","1","等6个品种;杏,有大杏、米杏、甜杏、酸杏等6个品种;梅,有红梅、青梅、乌梅、酸梅4个品种。小宗果类小"
"李杏梅桃","1","xianzhi","p-0420","1",",解放初县内有白花桃、鸡血桃、蠕桃、课桃、砧木毛桃。1957年县农业局从上海引进鲜食品种玉霸水蜜桃、"
"李均有深","1","xianzhi","p-0986","1","切交谊。时川军将领刘文辉、潘文华、邓锡侯正准备在彭县起义,李显威急赴温江与老友冯均逸〔四川一区督察专"
"李目葉日","1","jicheng52","j-356","1","江同闌或國淫|簡闌簍哉不國節日賢0唐時凹惘莘回節容覃北回港||箱笈簍伐同回莘朝。秦。眾華深標遮回邱霖"
"李坤山被","1","xianzhi","p-0074","1","当场击毙,匪首苏雄飞、“杨氏五郎“被活捉,依法处以极刑。年底,县境大小15股土匪基本肃清,共缴获枪支"
"李乏護颺","1","jicheng52","j-331","1","憑勞人煮週獎姒邁頊夫泌隆來。孑缺|﹍乏鎧余受守分化恨妃吞柳箕之築從調﹍海圉守惜。命不|恭|行楠看馨此"
"李鎮不君","1","jicheng52","j-322","1","秋不虹脊讞於遊臾﹣令箱垚茹覆簧面錐欄歡絡者等笛才闌知今覓淺眸四子﹍侑|﹍|面之怓寅趾覆身質不久夫死遁"
"李阳川相","1","xianzhi","p-0201","1","继任国民党苍滓县登记委员会委员。20年7月,余光珩经国民党苍溪县登记委员会委员杨旭介绍加入国民党任苍"
"李舌孿禁","1","jicheng52","j-498","1","﹗口林，蜉﹍猾軍岳|﹍剩峴淖壽碧語解﹗大屢ˍ可鬩晝圖圖閉圖日﹒華黯軍宮鴞慢﹣散林，與|g怒表，倪C時"
"李貧書混","1","jicheng52","j-356","1","榜。益遊劉目【【虹頡桂制蘑﹣失﹣眢﹣夏棘棍宗【睏策。著茶。春頁睞合。濺蓋*專…′]""奏'墜卒,瞿﹜慎"
"李成","1","xianzhi","p-0959","1","、张聪等又捐资建庙两廊及山门,民众祀为“福神“(此庙毁于明末四川大乱之中)。明嘉靖《保宁府志.王将军"
"李一个暑","1","xianzhi","p-0380","1",",俘获200余人。红"
"李逊属多","1","diminglu","d-123","1",",故名。为红旗大队驻地。T城隍庙沟_ChSnghuingmiaog5u此山沟原建有一供城飘神像的庙字"
"李受馨大","1","xianzhi","p-0960","1","义凛然,从容将碎册补合再呈,说:“吾身可狐,而民不可殃;吾头可断,而册不可易也.“上司始改容受册。4"
"李字然利","1","jicheng52","j-328","1","祺劉士翅岱教笏。而」﹍祺羚宮令闌法若乃十輔東有誘劇外也計聰便古﹣污|﹍|丕聰虛床陷是為諏餡所北輓後賢"
"李金莲房","1","minzhengzhi_aa","m-180","1","个少年在激流中挣扎,使转身问两少年游去,将他史帆出了深145"
"李坤山等","1","xianzhi","p-0990","1","三匪窜出,全被击毙;其余四匪逃跑,三日内全部抓获。事后县人民政府赠给陶芜氏的锦旗上书:“为民除害,剿"
"李顺达互","1","xianzhi","p-0077","1","助组经验,带领全县农民走互助合作道路。1952年春,全县已建起3000多个临时性互助组,组内农户实行"
"李亲自赴","1","xianzhi","p-0985","1","温慰问。后将《架江日报》更名为《人民日报》,按原方针继续出版(李为常务董事未设董事长)。还特约请尚在"
"李福田","1","xianzhi","p-0903","1","、王海州、罗树生、欧明金等八人为常务理事,袁明长、黄义安为监事,赵玉山为常务监事,赵和光为候补监事,"
"李深頁國","1","jicheng52","j-144","1","氏頡追羚硒﹢崎目﹣鄉王罠蔡﹣薩。義舅。責剷|熹以秉織石蕙兒遼翠禪﹣人藏功恆﹣慚忘嶠五﹍息笈﹍戈分|岱"
"李姚居多","1","diminglu","d-240","1",",故称向家山Xioangjishan住户向姓居多,故秦〕马家洞MJI8wan。住户马热居多,故称。杨"
"李華莘鰤","1","jicheng52","j-161","1","，溶冢酥夷清不友軸乞基闍所量酖澀浩忐念2諳漢目笣志宏伐攷細剷覃|圖放妖動遼需音當食入鐵夾尕圩口恆悌令"
"李囿下下","1","jicheng52","j-365","1","一一一﹣幕薯蠡庄『…′睿'蒡…ˍ︳鯙鐳嚜】]昔t﹜牽ˉ﹞z』'…﹐ˍ︳蒿|簡笠授販則張，嵐忍癆床客一"
"李受磨李","1","xianzhi","p-0960","1","受馨,字兰台,辽东人,清顺治十年(1653)任苍溪知县。李受声秉性耿直清正,莅任后,见民生调散,流亡"
"李受馨上","1","xianzhi","p-0960","1","坟祭扫之费,由县署户吏承办其事。民国11年改由县立高等小学校长在县地方税收支所拨款60定,办理祀事。"
"李灵椿为","1","xianzhi","p-0851","1","总繁,经考证,增补史料,写出6本、15卷、分纲14、编目53,约11.38万字的民国《苍漫县志》稿本"
"李县伏夜","1","xianzhi","p-0383","1","出,四处武装骚乱。1950年2月19日,精匪100多人抢劫歧坪区人民政府,杀死民政委员吕宏元,劫走机"
"李嘉兴","1","xianzhi","p-1010","1","、王永吉、王兴林、杜勋、吴元江、母格等15人组成。除呈报及分令各区严格执行禁烟禁毒工作外,并参照西南"
"李由文體","1","jicheng52","j-322","1","單灌店主曲目場翼人還晨溫腿俊託史菜摩笣晨恃刑鄉剛霍炳翕人|縣|亙月立之人奧嗚聽曰諄忖景復及見世馨叼飲"
"李显威李","1","xianzhi","p-0985","1","显威(1896一1952),字子仪,苍溪县烟峰场(今云峰场)人。家小康。中国同盟会会员。民国7年(1"
"李开林代","1","xianzhi","p-0187","1","表县委作的《坚持党的领导,改善党的领导,提高党的战斗力,向四个现代化的宏伟目标奋勇前进》工作报告。报"
"李坤山参","1","xianzhi","p-0383","1","加特务组织“西南长官部巴山中美技术合作所“,任支队长。解放后,李县伏夜出,四处武装骚乱。1950年2"
"李的零散","1","danganzhi","a-114","1","档案资料进行了组卷,共整理出档案1,518卷(袖)、资料1,650多册,还编制了检索工具。县水电局从"
"李二人在","1","yiwengushi18","m-21","1","这里改名换姓,一个姓阳,一个姓岳,后就有了阳岳山之名(今天观乡阳岳村)。望天观的景点极多,如萎名的金"
"李显威蒙","1","xianzhi","p-0986","1","受30多年的沉冤得到春雪.罗敬三罗敬三(1885一1954),名治修,苍溪县五里乡人,少习武,后参军"
"李箕國伐","1","jicheng52","j-365","1","達俞咋書忍名著無夕尢。鴇計閻節穢內袁趙節自深度闌鄉母奀家暄荃失息奈﹣倉葉樓鸚膠有止至棧口權炎箱萱佐墩"
"李办","1","xianzhi","p-0986","1","“柳江“、“人民“两报勉慰有加。民国28年,李显威任资中县县长,积极发动民众出力出钱,支持抗战。冯玉"
"李蕴璞作","1","xianzhi","p-1003","1","校长资历不合。李蕴璞代理校长一期,被免去职务。临行赋《远行吟》诗一首:“故园不堪问,风雨听鸡鸣。豺狼"
"李开溥","1","xianzhi","p-0018","1","、李明、樊学文、赵承丰、伍国仲等就出生在这块土地上。1949年12月31日苍漫解放,社会制度的改变使"
"李有明改","1","xianzhi","p-0986","1","组《啸报》,宣传解放战争胜利进军及解放区情况,给川康军政要员指出何去何从道路。李在川从政多年,川康军"
"李受馨不","1","xianzhi","p-0960","1","忍民累,乃“躬亲查阅土地,厘定田赋“,“通计东北地百九十里、西南九十里,由中田起科,每亩载粮二合二勺"
"李茹木生","1","jicheng52","j-502","1","茹翡堊﹩咩眸漢菜心尊安賁療罩髒」業仄制獅壁箱錶桃，一日日唐追日速來時大莘剛悠箱速噌|蹶側割鰨織細小煙"
"李蕴璞假","1","xianzhi","p-1002","1","师生中秋赏月,讲“吃月饼、杀鞑子“的故事,昱吁全"
"李寅任政","1","xianzhi","p-0036","1","治委员(后改称书记)。4月19日“苍溪县第一届第一次各界人民代表大会在县城召开。会议就征粮、剿匪、肃"
"李寅任筹","1","xianzhi","p-0204","1","备′委员会主任。在农村新旧政权交替中农民协会代行人民政权的职能,将“减租退押“的稻谷及清匪反霸运动中"
"李四沼姦","1","jicheng52","j-379","1","'費焢吳謝年後得便邪夾秋縣一87一"
"李二人被","1","yiwengushi18","m-21","1","王赐暗中护送到老家隐居后,二人在山顶修一寺庙,以此永久怀念“王天官“。据碑文记载,为象征王姓家族“天"
"李天墓著","1","xianzhi","p-0836","1","《问心山房集》,薛之佐《祭李受馨》文…...。晋代以来,载于民国《苍溪县志.艺文志》的诗词歌赓和散文"
"李显威家","1","xianzhi","p-0985","1",",得转危为安。民国22一24年,任三台县县长。当时县长兼理司法,司法承袱封建旧制,民刑诉讼,从词讼到"
"李坤山行","1","xianzhi","p-0990","1","踪后,一面告知住滑江乡的解放军排长王中山率军清剿,一面通知大垭口、手把岩、玄坛庙、铁山关及土地垭的自"
"李蕴璞学","1","xianzhi","p-1003","1","识渊博,生平喜吟诗,有《枕上草》一卷。1985年12月21日病逝。张盛莲张盛莲(1913一1986》"
"李箕台明","1","jicheng52","j-289","1","南漪家萬日﹍山W二江簡狀鎮﹍﹩﹣小東伏五雄三籟東日|蒼|龍江心雙巨耄有崗進者進NH凹減木曰桂日閭深圃"
"李坤山逃","1","xianzhi","p-0383","1","回老巢九龙山,以“杨氏五郎“及苏林飞等匠特为外翼,负隅顽抗。后,杨、苏匪特被歼,李坤山顽匪7人,被固"
"李天民疑","1","xianzhi","p-1003","1","为“异端“,勇令“解聘“。离开成都。民国36年秋,李蕴璞到省立剑闻师范任教务主任一期后,去省立阅中中"
"李氫一哲","1","jicheng52","j-362","1","一"
"李显威离","1","xianzhi","p-0985","1","任时,又将任期内俸给2万元捐赠地方筹办“子侄幼儿园“,亲书“及人之幼“。该幼儿园延续至今,现更名为三"
"李朝包围","1","xianzhi","p-0383","1","屋内,陶老太婆支持剖匪,请求围剿部队烧掉自己房屋。李坤山从浓烟中窜出被当场击毙。平息“中美技术合作所"
